index;title;year;rating;votes;runtime;genre;Awards
478;21 Jump Street;2012;7,2;243684;109;Action;1
479;The Tourist;2010;6;128663;103;Action;1
480;This Is the End;2013;6,9;188103;107;Comedy;0
481;Red;2010;7,1;184923;111;Action;1
482;Kick-Ass;2010;7,8;324419;117;Action;1
483;Immortals;2011;6,1;112273;110;Action;1
484;The Twilight Saga: New Moon;2009;4,6;179909;130;Adventure;0
485;X-Men: First Class;2011;7,8;340539;132;Action;0
486;Looper;2012;7,5;303605;119;Action;1
487;Date Night;2010;6,3;102062;88;Comedy;1
488;Easy A;2010;7,2;182792;92;Comedy;1
489;Bad Teacher;2011;5,7;123366;92;Comedy;0
490;Pirates of the Caribbean: On Stranger Tides;2011;6,7;258392;136;Action;1
491;Iron Man 3;2013;7,4;350466;130;Action;0
492;Kung Fu Panda 2;2011;7,4;118131;91;Animation;0
493;50/50;2011;7,8;207865;100;Comedy;1
494;Rise of the Planet of the Apes;2011;7,6;272305;105;Action;0
495;The Expendables;2010;6,5;194645;103;Action;1
496;Gangster Squad;2013;6,8;130219;113;Action;0
497;Despicable Me;2010;7,7;241480;95;Animation;0
498;The Twilight Saga: Breaking Dawn - Part 1;2011;4,9;141847;117;Adventure;1
499;The Twilight Saga: Eclipse;2010;4,9;144112;124;Adventure;1
500;Dredd;2012;7;149225;95;Action;1
501;The Dark Knight Rises;2012;8,6;753594;165;Action;1
502;Cloud Atlas;2012;7,6;210794;172;Adventure;1
503;Inception;2010;8,8;931327;148;Action;0
504;Grown Ups;2010;5,9;130952;102;Comedy;0
505;The Other Guys;2010;6,6;139436;107;Action;1
506;Total Recall;2012;6,3;155966;118;Action;0
507;The Hunger Games;2012;7,3;480617;142;Adventure;1
508;Taken 2;2012;6,3;145092;92;Action;1
509;Transformers: Dark of the Moon;2011;6,4;238527;154;Action;1
510;Unknown;2011;6,9;159966;113;Action;0
511;True Grit;2010;7,7;186806;110;Adventure;1
512;Star Trek Into Darkness;2013;7,9;272221;132;Action;1
513;Men in Black 3;2012;6,9;189035;106;Action;0
514;No Strings Attached;2011;6,2;118876;108;Comedy;1
515;The Hangover Part II;2011;6,5;270968;102;Comedy;0
516;Predators;2010;6,4;137701;107;Action;1
517;Hansel & Gretel: Witch Hunters;2013;6,1;113367;88;Action;0
518;The Wolverine;2013;6,8;187381;126;Action;0
519;Rio;2011;7;116302;96;Animation;1
520;Battleship;2012;5,9;156293;131;Action;0
521;Prometheus;2012;7,1;339420;124;Adventure;1
522;Monsters University;2013;7,5;133825;104;Animation;0
523;Bridesmaids;2011;6,9;166930;125;Comedy;0
524;Oblivion;2013;7;240839;124;Action;1
525;The Change-Up;2011;6,4;110399;112;Comedy;0
526;Horrible Bosses;2011;6,9;256896;98;Comedy;1
527;Sherlock Holmes: A Game of Shadows;2011;7,5;236863;129;Action;0
528;Elysium;2013;6,7;194012;109;Action;0
529;127 Hours;2010;7,7;208624;94;Adventure;1
530;Just Go with It;2011;6,4;124675;117;Comedy;0
531;Crazy, Stupid, Love.;2011;7,5;275997;118;Comedy;0
532;G.I. Joe: Retaliation;2013;5,9;103584;110;Action;1
533;Warm Bodies;2013;7;129637;98;Comedy;0
534;Fast Five;2011;7,3;203990;130;Action;1
535;This Means War;2012;6,4;109220;103;Action;1
536;Safe House;2012;6,8;125071;115;Action;0
537;The Grey;2011;6,8;155699;117;Action;1
538;American Reunion;2012;6,8;137312;113;Comedy;1
539;Midnight in Paris;2011;7,7;219955;94;Comedy;1
540;A Good Day to Die Hard;2013;5,4;123837;98;Action;1
541;Abraham Lincoln: Vampire Hunter;2012;6;100839;105;Action;0
542;Oz the Great and Powerful;2013;6,4;135860;130;Adventure;1
543;Friends with Benefits;2011;6,6;182271;109;Comedy;1
544;Project X;2012;6,7;119215;88;Comedy;1
545;In Time;2011;6,6;213311;109;Action;1
546;Ted;2012;7,1;321504;106;Comedy;1
547;The Dictator;2012;6,4;157623;83;Comedy;1
548;Wrath of the Titans;2012;5,8;117567;99;Action;0
549;Kick-Ass 2;2013;6,8;115230;103;Action;1
550;The Artist;2011;8;145446;100;Comedy;1
551;Pacific Rim;2013;7,1;233835;131;Action;1
552;The Twilight Saga: Breaking Dawn - Part 2;2012;5,6;133930;115;Adventure;1
553;Despicable Me 2;2013;7,6;168167;98;Animation;0
554;We're the Millers;2013;7,1;170359;110;Comedy;0
555;Snow White and the Huntsman;2012;6,2;172153;127;Adventure;0
556;Moonrise Kingdom;2012;7,8;160434;94;Comedy;1
557;The Expendables 2;2012;6,8;179914;103;Action;1
558;Wreck-It Ralph;2012;7,8;167471;108;Animation;1
559;After Earth;2013;5;108264;100;Action;0
560;Django Unchained;2012;8,5;568931;165;Adventure;1
561;Fast & Furious 6;2013;7,2;196463;130;Action;1
562;Seven Psychopaths;2012;7,2;134215;110;Comedy;0
563;The Hangover Part III;2013;5,9;129218;100;Comedy;1
564;The Hunger Games: Catching Fire;2013;7,9;267200;146;Adventure;0
565;Rush;2013;8,3;140946;123;Action;1
566;Thor: The Dark World;2013;7,3;195634;112;Action;0
567;Pitch Perfect;2012;7,3;123857;112;Comedy;1
568;Don Jon;2013;6,8;105210;90;Comedy;1
569;Frozen;2013;7,9;166804;102;Animation;1
570;Olympus Has Fallen;2013;6,5;132564;119;Action;0
