index;title;year;rating;votes;runtime;genre;Awards
110;Twister;1996;6,2;120055;113;Action;0
111;Air Force One;1997;6,4;117900;124;Action;0
112;Alien: Resurrection;1997;6,3;126907;109;Action;1
113;Austin Powers: International Man of Mystery;1997;7;146879;89;Comedy;1
114;Batman & Robin;1997;3,6;150316;125;Action;0
115;The Big Lebowski;1998;8,2;381537;117;Comedy;0
116;Life Is Beautiful;1997;8,6;267087;116;Comedy;1
117;Con Air;1997;6,8;178495;115;Action;1
118;Face/Off;1997;7,3;223669;138;Action;0
119;The Fifth Element;1997;7,6;261202;126;Action;1
120;Liar Liar;1997;6,8;158903;86;Comedy;0
121;The Lost World: Jurassic Park;1997;6,4;187100;129;Action;1
122;Men in Black;1997;7,2;292609;98;Comedy;0
123;Princess Mononoke;1997;8,5;150213;134;Animation;1
124;As Good as It Gets;1997;7,8;189502;139;Comedy;1
125;Three Kings;1999;7,2;116354;114;Action;0
126;Starship Troopers;1997;7,2;179573;129;Action;1
127;Tomorrow Never Dies;1997;6,4;116800;119;Action;1
128;Toy Story 2;1999;7,9;276867;92;Animation;0
129;The Truman Show;1998;8;457199;103;Comedy;0
130;Armageddon;1998;6,6;252343;151;Action;0
131;Being John Malkovich;1999;7,8;207820;112;Comedy;1
132;Blade;1998;7,1;144929;120;Action;1
133;The Mummy;1999;7;251958;125;Action;1
134;A Bug's Life;1998;7,2;159524;95;Animation;0
135;Chicken Run;2000;7,1;107470;84;Animation;0
136;Deep Impact;1998;6,1;113121;120;Action;0
137;Dogma;1999;7,4;154732;130;Adventure;0
138;Enemy of the State;1998;7,3;153279;132;Action;0
139;Fantastic Four;2005;5,7;199059;106;Action;1
140;Fear and Loathing in Las Vegas;1998;7,8;171879;118;Comedy;1
141;Godzilla;1998;5,2;120832;139;Action;0
142;Lock, Stock and Two Smoking Barrels;1998;8,2;303829;107;Comedy;1
143;The Lord of the Rings: The Fellowship of the Ring;2001;8,9;870253;178;Action;1
144;The Mask of Zorro;1998;6,7;107542;136;Action;0
145;Mulan;1998;7,5;108134;88;Animation;0
146;Resident Evil;2002;6,7;159865;100;Action;1
147;Rush Hour;1998;6,9;142643;98;Action;0
148;Saving Private Ryan;1998;8,6;596960;169;Action;0
149;Wild Wild West;1999;4,7;108272;106;Action;1
150;X-Men;2000;7,4;307750;104;Action;0
151;Men in Black II;2002;6;186510;88;Action;1
152;Corpse Bride;2005;7,4;136511;77;Animation;1
153;Star Wars: Episode II - Attack of the Clones;2002;6,8;323973;142;Action;0
154;Star Wars: Episode III - Revenge of the Sith;2005;7,7;360711;140;Action;1
155;Lethal Weapon 4;1998;6,6;104551;127;Action;0
156;Ronin;1998;7,3;123989;122;Action;1
157;Analyze This;1999;6,7;104010;103;Comedy;1
158;Notting Hill;1999;7;152034;124;Comedy;0
159;Shrek;2001;7,9;340044;90;Animation;1
160;Rushmore;1998;7,8;102686;93;Comedy;0
161;You've Got Mail;1998;6,5;118484;119;Comedy;1
162;Run Lola Run;1998;7,8;138797;80;Action;1
163;The Matrix;1999;8,7;836596;136;Action;0
164;Planet of the Apes;2001;5,7;143608;119;Action;0
165;Pitch Black;2000;7,1;158680;109;Action;1
166;Shakespeare in Love;1998;7,2;142233;123;Comedy;1
167;Big Daddy;1999;6,4;121887;93;Comedy;0
168;The Boondock Saints;1999;7,9;171296;108;Action;0
169;Austin Powers: The Spy Who Shagged Me;1999;6,6;147827;95;Action;1
170;Lara Croft: Tomb Raider;2001;5,7;122293;100;Action;1
171;High Fidelity;2000;7,6;118541;113;Comedy;0
172;10 Things I Hate About You;1999;7,2;162494;97;Comedy;0
173;Office Space;1999;7,9;162583;89;Comedy;1
174;South Park: Bigger Longer & Uncut;1999;7,8;129575;81;Animation;0
175;Charlie's Angels;2000;5,5;121540;98;Action;1
176;Cast Away;2000;7,7;282499;143;Adventure;1
177;Jurassic Park III;2001;5,9;148552;92;Action;0
178;American Pie;1999;7;253141;95;Comedy;0
179;The Beach;2000;6,6;130952;119;Adventure;0
180;Hellboy;2004;6,8;193137;122;Action;0
181;The Lord of the Rings: The Return of the King;2003;8,9;840207;201;Action;0
182;The Lord of the Rings: The Two Towers;2002;8,8;755913;179;Action;1
183;How the Grinch Stole Christmas;2000;5,9;103715;104;Comedy;0
184;Bad Boys II;2003;6,5;138299;147;Action;0
185;Gladiator;2000;8,5;660343;155;Action;0
186;Scary Movie;2000;6,2;147726;88;Comedy;0
187;Galaxy Quest;1999;7,3;101046;102;Adventure;0
188;Minority Report;2002;7,7;306762;145;Action;0
189;Terminator 3: Rise of the Machines;2003;6,4;226497;109;Action;1
190;Me, Myself & Irene;2000;6,5;148136;116;Comedy;1
191;A Knight's Tale;2001;6,9;109282;132;Action;1
192;Gone in Sixty Seconds;2000;6,4;173209;118;Action;1
193;The Patriot;2000;7,1;162211;165;Action;0
194;Blade II;2002;6,7;119763;117;Action;1
195;Crouching Tiger, Hidden Dragon;2000;7,9;187749;120;Action;0
196;O Brother, Where Art Thou?;2000;7,8;175313;106;Comedy;0
197;Zoolander;2001;6,6;146343;89;Comedy;0
198;Monsters, Inc.;2001;8,1;374709;92;Animation;1
199;What Women Want;2000;6,4;126978;127;Comedy;0
200;Snatch.;2000;8,4;432274;102;Comedy;1
201;The Mummy Returns;2001;6,3;197735;130;Action;0
202;Am\303\251lie;2001;8,5;381795;122;Comedy;1
203;Meet the Parents;2000;7;206645;108;Comedy;0
204;Miss Congeniality;2000;6,1;101504;109;Action;1
205;A.I. Artificial Intelligence;2001;7,1;190165;146;Adventure;0
206;Pearl Harbor;2001;5,9;193956;183;Action;1
207;Road Trip;2000;6,5;107578;93;Adventure;1
208;The Fast and the Furious;2001;6,5;187877;106;Action;0
209;The Matrix Reloaded;2003;7,2;332152;138;Action;0
210;Equilibrium;2002;7,6;209008;107;Action;1
211;Harry Potter and the Sorcerer's Stone;2001;7,4;324946;152;Adventure;0
212;The Matrix Revolutions;2003;6,7;287262;129;Action;1
213;Bridget Jones's Diary;2001;6,7;128121;97;Comedy;0
214;Swordfish;2001;6,5;133134;99;Action;1
215;Spirited Away;2001;8,6;272880;125;Animation;1
216;Die Another Day;2002;6,1;132480;133;Action;1
217;How to Lose a Guy in 10 Days;2003;6,3;107498;116;Comedy;0
218;American Pie 2;2001;6,4;158631;108;Comedy;0
219;S.W.A.T.;2003;6;100303;117;Action;0
220;The Bourne Identity;2002;7,9;299565;119;Action;0
221;Ghost Rider;2007;5,2;139066;114;Action;1
222;Jay and Silent Bob Strike Back;2001;6,9;109863;104;Comedy;0
223;The Girl Next Door;2004;6,8;141333;108;Comedy;0
224;The Royal Tenenbaums;2001;7,6;160053;110;Comedy;0
225;Battle Royale;2000;7,8;113063;114;Adventure;0
226;Finding Nemo;2003;8,2;450974;100;Animation;1
